Date,Open,High,Low,Close,Adj Close,Volume
2010-06-29,2.76,2.63,2.48,2.59,2.38,66080800.0
2010-06-30,2.62,2.54,2.73,2.46,2.15,62307200.0
2010-07-01,2.48,2.46,2.55,2.66,2.46,73700800.0
2010-07-02,2.79,2.74,2.52,2.41,2.41,73709600.0
2010-07-06,2.34,2.6,2.69,2.6,2.26,71202000.0
2010-07-07,2.6,2.75,2.58,2.59,2.3,60841200.0
2010-07-08,2.6,2.81,2.43,2.58,2.39,78327200.0
2010-07-09,2.52,2.71,2.47,2.59,2.34,57151600.0
2010-07-12,2.7,2.71,2.41,2.7,2.38,56539600.0
2010-07-13,2.42,2.67,2.74,2.59,2.5,72331600.0
2010-07-14,2.78,2.91,2.62,2.75,2.72,135566400.0
2010-07-15,2.88,2.85,2.82,2.62,2.53,95308800.0
2010-07-16,2.73,2.83,2.6,2.64,2.33,128860400.0
2010-07-19,2.62,2.87,2.54,2.74,2.59,79844000.0
2010-07-20,2.41,2.58,2.62,2.55,2.47,116098800.0
2010-07-21,2.74,2.81,2.65,2.71,2.36,62494000.0
2010-07-22,2.63,2.53,2.54,2.59,2.34,46261200.0
2010-07-23,2.69,2.49,2.52,2.57,2.27,81760400.0
2010-07-26,2.79,2.75,2.54,2.56,2.35,68354800.0
2010-07-27,2.64,2.58,2.53,2.63,2.44,68347200.0
2010-07-28,2.51,2.44,2.43,2.32,2.21,132080800.0
2010-07-29,2.51,2.29,2.3,2.46,2.04,266447600.0
2010-07-30,2.28,2.42,2.24,2.34,1.96,98428800.0
2010-08-02,2.25,2.38,2.18,2.18,2.13,91702000.0
2010-08-03,2.41,2.27,2.31,2.38,2.03,95544400.0
2010-08-04,2.21,2.39,2.26,2.27,2.18,85549600.0
2010-08-05,2.45,2.38,2.24,2.4,2.23,80050400.0
2010-08-06,2.38,2.51,2.42,2.6,2.35,73990400.0
2010-08-09,2.37,2.44,2.33,2.25,2.19,46645600.0
2010-08-10,2.45,2.34,2.24,2.13,2.14,77256000.0
2010-08-11,2.29,2.53,2.02,2.11,2.02,79614800.0
2010-08-12,2.18,2.23,1.99,2.38,1.94,134358400.0
2010-08-13,2.6,2.57,2.42,2.33,2.17,179739200.0
2010-08-16,2.34,2.56,2.33,2.32,2.14,81400800.0
2010-08-17,2.08,2.27,2.17,2.45,2.2,48122400.0
2010-08-18,2.25,2.33,2.33,2.52,2.06,35292000.0
2010-08-19,2.47,2.41,2.22,2.29,2.37,161510000.0
2010-08-20,2.43,2.57,2.34,2.46,2.42,130530800.0
2010-08-23,2.44,2.61,2.5,2.52,2.25,74862000.0
2010-08-24,2.39,2.4,2.39,2.68,2.28,64133200.0
2010-08-25,2.56,2.68,2.48,2.46,2.36,75753200.0
2010-08-26,2.42,2.81,2.5,2.56,2.28,65759600.0
2010-08-27,2.32,2.65,2.18,2.45,2.36,106041600.0
2010-08-30,2.49,2.69,2.41,2.3,2.18,60280400.0
